Gene,Drug,Literature
ahpC,isoniazid,WHO Catalogue
inhA,"isoniazid,ethionamide",WHO Catalogue
katG,isoniazid,WHO Catalogue
mshA,isoniazid,WHO Catalogue
ndh,isoniazid,WHO Catalogue
Rv1258c,"isoniazid,pyrazinamide,streptomycin",WHO Catalogue
Rv2752c,"isoniazid,rifampicin",WHO Catalogue
rpoB,rifampicin,WHO Catalogue
rpoA,rifampicin,WHO Catalogue
rpoC,rifampicin,WHO Catalogue
embA,ethambutol,WHO Catalogue
embB,ethambutol,WHO Catalogue
embC,ethambutol,WHO Catalogue
embR,ethambutol,WHO Catalogue
ubiA,ethambutol,WHO Catalogue
pncA,pyrazinamide,WHO Catalogue
clpC1,pyrazinamide,WHO Catalogue
panD,pyrazinamide,WHO Catalogue
PPE35,pyrazinamide,WHO Catalogue
Rv3236c,pyrazinamide,WHO Catalogue
gyrA,"levofloxacin,moxifloxacin,moxifloxacin_high_dose",WHO Catalogue
gyrB,"levofloxacin,moxifloxacin,moxifloxacin_high_dose",WHO Catalogue
pepQ,"bedaquiline,clofazimine",WHO Catalogue
Rv0678,"bedaquiline,clofazimine",WHO Catalogue
mmpL5,"bedaquiline,clofazimine",WHO Catalogue
mmpS5,"bedaquiline,clofazimine",WHO Catalogue
atpE,bedaquiline,WHO Catalogue
Rv1979c,bedaquiline,WHO Catalogue
rplC,linezolid,WHO Catalogue
rrl,linezolid,WHO Catalogue
fgd1,delamanid,WHO Catalogue
ddn,delamanid,WHO Catalogue
fbiA,delamanid,WHO Catalogue
fbiB,delamanid,WHO Catalogue
fbiC,delamanid,WHO Catalogue
Rv2983,delamanid,WHO Catalogue
rrs,"amikacin,streptomycin,kanamycin,capreomycin",WHO Catalogue
eis,"amikacin,kanamycin",WHO Catalogue
whiB7,"amikacin,streptomycin,kanamycin",WHO Catalogue
whiB6,"amikacin,streptomycin,capreomycin",WHO Catalogue
ccsA,"amikacin,capreomycin",WHO Catalogue
fprA,"amikacin,capreomycin",WHO Catalogue
aftB,"amikacin,capreomycin",WHO Catalogue
rpsL,"streptomycin",WHO Catalogue
gid,"streptomycin",WHO Catalogue
gid,"streptomycin",WHO Catalogue
ethA,"ethionamide",WHO Catalogue
tlyA,"capreomycin",WHO Catalogue
